Hail Contour Data
=================


0.75inch (threshold: 19mm)
----------------------------------------

Region 1
Points: 48
lat,lon
33.9923,-83.4512
33.9977,-83.4512
33.9977,-83.4578
34.0032,-83.4578
33.9977,-83.4644
34.0032,-83.4644
34.0032,-83.4710
34.0032,-83.4776
33.9977,-83.4710
33.9977,-83.4776
33.9977,-83.4842

Region 9
Points: 10
lat,lon
33.9977,-83.5040
33.9977,-83.4974
33.9977,-83.4908
34.0032,-83.4908
34.0032,-83.4842
34.0086,-83.4908
34.0086,-83.4974
34.0086,-83.5040
34.0032,-83.5040
34.0032,-83.5106

Region 10
Points: 28
lat,lon
34.0248,-83.5371
34.0248,-83.5305
34.0194,-83.5305
34.0194,-83.5238
34.0140,-83.5238
34.0086,-83.5172
34.0140,-83.5172
34.0086,-83.5106
34.0140,-83.5106
34.0194,-83.5106
34.0140,-83.5040
34.0194,-83.5040
34.0248,-83.5106
34.0248,-83.5040
34.0302,-83.5040
34.0302,-83.5106
34.0357,-83.5040
34.0357,-83.5106
34.0411,-83.5106
34.0411,-83.5172
34.0465,-83.5172
34.0465,-83.5238
34.0411,-83.5238
34.0411,-83.5305
34.0357,-83.5305
34.0357,-83.5371
34.0302,-83.5305
34.0302,-83.5371

Region 11
Points: 8
lat,lon
34.0682,-83.4842
34.0682,-83.4776
34.0736,-83.4710
34.0736,-83.4776
34.0790,-83.4776
34.0790,-83.4842
34.0736,-83.4842
34.0736,-83.4908

Region 12
Points: 272
lat,lon
34.2956,-83.7681
34.2956,-83.7615
34.2956,-83.7549
34.2956,-83.7483
34.2956,-83.7417
34.2902,-83.7483
34.2902,-83.7417
34.2848,-83.7417
34.2848,-83.7351
34.2794,-83.7351
34.2740,-83.7351
34.2794,-83.7285
34.2740,-83.7285
34.2686,-83.7285
34.2631,-83.7285
34.2686,-83.7219
34.2631,-83.7219
34.2577,-83.7219
34.2577,-83.7153
34.2631,-83.7153
34.2523,-83.7087
34.2577,-83.7087
34.2523,-83.7021
34.2577,-83.7021
34.2523,-83.6955
34.2577,-83.6955
34.2523,-83.6889
34.2144,-83.6625
34.2252,-83.6691
34.2469,-83.6823
34.2090,-83.6559
34.2577,-83.6889
34.2198,-83.6625
34.1927,-83.6427
34.2306,-83.6691
34.2036,-83.6493
34.2144,-83.6559
34.1873,-83.6361
34.1982,-83.6427
34.2252,-83.6625
34.1819,-83.6295
34.2523,-83.6823
34.2090,-83.6493
34.1927,-83.6361
34.2361,-83.6691
34.1765,-83.6229
34.2198,-83.6559
34.2036,-83.6427
34.1873,-83.6295
34.2469,-83.6757
34.2306,-83.6625
34.1982,-83.6361
34.1819,-83.6229
34.1765,-83.6163
34.2415,-83.6691
34.1819,-83.6163
34.2361,-83.6625
34.1765,-83.6097
34.1711,-83.6031
34.2523,-83.6757
34.1657,-83.5965
34.1602,-83.5899
34.1819,-83.6097
34.1548,-83.5833
34.2469,-83.6691
34.1765,-83.6031
34.1711,-83.5965
34.1657,-83.5899
34.2415,-83.6625
34.1602,-83.5833
34.1548,-83.5767
34.1602,-83.5767
34.1548,-83.5701
34.1602,-83.5701
34.1548,-83.5635
34.1602,-83.5635
34.1602,-83.5569
34.1657,-83.5569
34.1657,-83.5503
34.1711,-83.5569
34.1765,-83.5635
34.1819,-83.5701
34.1711,-83.5503
34.1765,-83.5569
34.1819,-83.5635
34.1873,-83.5701
34.1927,-83.5767
34.1765,-83.5503
34.1819,-83.5569
34.1873,-83.5635
34.1927,-83.5701
34.1982,-83.5767
34.2036,-83.5833
34.1982,-83.5701
34.2036,-83.5767
34.2090,-83.5833
34.2144,-83.5899
34.2090,-83.5767
34.2144,-83.5833
34.2198,-83.5899
34.2252,-83.5965
34.2198,-83.5833
34.2252,-83.5899
34.2306,-83.5965
34.2361,-83.6031
34.2469,-83.6229
34.2306,-83.5899
34.2523,-83.6295
34.2361,-83.5965
34.2469,-83.6163
34.2577,-83.6361
34.2415,-83.6031
34.2523,-83.6229
34.2469,-83.6097
34.2415,-83.5965
34.2577,-83.6295
34.2523,-83.6163
34.2469,-83.6031
34.2631,-83.6361
34.2523,-83.6097
34.2631,-83.6295
34.2686,-83.6427
34.2686,-83.6361
34.2740,-83.6427
34.2740,-83.6361
34.2794,-83.6493
34.2794,-83.6427
34.2848,-83.6559
34.2848,-83.6493
34.2848,-83.6427
34.2902,-83.6625
34.2902,-83.6559
34.2902,-83.6493
34.2956,-83.6691
34.2956,-83.6625
34.3011,-83.6691
34.3011,-83.6757
34.3011,-83.6823
34.3011,-83.6889
34.3065,-83.6757
34.3065,-83.6823
34.3065,-83.6889
34.3065,-83.6955
34.3119,-83.6955
34.3119,-83.7021
34.3173,-83.7021
34.3119,-83.7087
34.3173,-83.7087
34.3119,-83.7153
34.3173,-83.7153
34.3336,-83.7219
34.3281,-83.7219
34.3227,-83.7219
34.3173,-83.7219
34.3390,-83.7285
34.3336,-83.7285
34.3281,-83.7285
34.3444,-83.7351
34.3390,-83.7351
34.3661,-83.7483
34.3227,-83.7285
34.3498,-83.7417
34.3606,-83.7483
34.3715,-83.7549
34.3444,-83.7417
34.3552,-83.7483
34.3661,-83.7549
34.3769,-83.7615
34.3498,-83.7483
34.3606,-83.7549
34.3715,-83.7615
34.3769,-83.7681
34.3552,-83.7549
34.3444,-83.7483
34.3823,-83.7747
34.3715,-83.7681
34.3877,-83.7813
34.3769,-83.7747
34.3498,-83.7549
34.3931,-83.7880
34.3823,-83.7813
34.3986,-83.7946
34.3877,-83.7880
34.4040,-83.8012
34.4094,-83.8078
34.3931,-83.7946
34.3986,-83.8012
34.4365,-83.8342
34.4040,-83.8078
34.4419,-83.8408
34.4473,-83.8474
34.4094,-83.8144
34.4310,-83.8342
34.4148,-83.8210
34.4365,-83.8408
34.4202,-83.8276
34.4419,-83.8474
34.4473,-83.8540
34.4256,-83.8342
34.4040,-83.8144
34.4310,-83.8408
34.4094,-83.8210
34.4148,-83.8276
34.4419,-83.8540
34.4202,-83.8342
34.4473,-83.8606
34.4256,-83.8408
34.4419,-83.8606
34.4365,-83.8606
34.4419,-83.8672
34.4310,-83.8606
34.4365,-83.8672
34.4256,-83.8606
34.4310,-83.8672
34.4202,-83.8606
34.4256,-83.8672
34.4202,-83.8672
34.4148,-83.8606
34.4148,-83.8672
34.4094,-83.8606
34.4094,-83.8672
34.4040,-83.8606
34.4040,-83.8672
34.3986,-83.8606
34.3931,-83.8540
34.3877,-83.8474
34.3986,-83.8672
34.3931,-83.8606
34.3877,-83.8540
34.3823,-83.8474
34.3823,-83.8540
34.3769,-83.8474
34.3769,-83.8540
34.3606,-83.8276
34.3715,-83.8474
34.3552,-83.8210
34.3661,-83.8408
34.3715,-83.8540
34.3606,-83.8342
34.3498,-83.8144
34.3661,-83.8474
34.3552,-83.8276
34.3444,-83.8078
34.3606,-83.8408
34.3336,-83.7880
34.3498,-83.8210
34.3552,-83.8342
34.3390,-83.8012
34.3606,-83.8474
34.3444,-83.8144
34.3281,-83.7813
34.3552,-83.8408
34.3336,-83.7946
34.3390,-83.8078
34.3444,-83.8210
34.3281,-83.7880
34.3336,-83.8012
34.3390,-83.8144
34.3281,-83.7946
34.3227,-83.7813
34.3227,-83.7880
34.3173,-83.7813
34.3173,-83.7880
34.3119,-83.7747
34.3119,-83.7813
34.3065,-83.7747
34.3065,-83.7813
34.3011,-83.7483
34.3011,-83.7549
34.3011,-83.7615
34.3011,-83.7681
34.3011,-83.7747

